Vds,Ids (Vg=9.0V),Ids (Vg=12.0V),Ids (Vg=15.0V),Ids (Vg=18.0V)
0.01499979,,1.9160025000000005,,
0.0453328349999999,2.0380005000000003,,,
0.058999775,,,,1.1340080999999995
0.06666624,,,1.06667295,
0.10166596,,,,1.890669
0.103332675,,,,1.8240035
0.1356659399999999,,3.3920095000000003,,
0.139665845,2.622666,,,
0.2053328499999999,,2.917998,,
0.20966643,,,3.83467,
0.263333055,,,,5.617331
0.28399932,,5.4086680000000005,,
0.28966625,3.688002,,,
0.2949989350000001,,,5.620000500000001,
0.3346653,,,6.7653325,
0.3846656,,,8.2339985,
0.4056661,,7.326002000000001,,
0.40599955,4.636000999999999,,,
0.4496669,,,9.615996999999998,
0.5416664499999999,,9.091997,,
0.5606665,5.493330000000001,,,
0.6053333,,,12.43529,
0.6079996,,,,14.802025
0.6993333000000002,,10.77336,,
0.7176666,6.2793265,,,
0.7713332500000001,,,15.062005,
0.8146667500000001,,,,19.24666
0.8690006,,12.630035,,
0.88866695,7.108003000000001,,,
0.9166664,,,17.725994999999998,
0.98600195,,,,23.45333
1.00033705,,14.277350000000002,,
1.00667,7.775333999999999,,,
1.0376729,,,20.235995000000003,
1.11333295,,15.821925,,
1.13733215,8.528666000000001,,,
1.1600025,,,,27.847385000000003
1.176666,,,22.788670000000003,
1.2820045,,17.348689999999998,,
1.2863344999999995,9.12933,,,
1.322001,,,25.354555,
1.3603305,,,,31.99593
1.4410014999999998,,18.84398,,
1.4736675,9.8279805,,,
1.5643305000000003,,,,36.16073
1.5903295000000002,,20.378010000000003,,
1.6223335000000003,10.392725,,,
1.6466675000000002,,,30.09668,
1.7283185000000003,,21.86271,,
1.7423180000000005,,,,40.54
1.746653,11.018005,,,
1.7596535,,,32.508689999999994,
1.872332,11.556659999999995,,,
1.8763345,,,34.84593,
1.9196655,,,,44.670625
1.9213335,,23.089355,,
2.0300035,12.058675,,,
2.049335,,,37.105995,
2.074666,,24.526015,,
2.19333,,,39.32670499999999,
2.1966675,12.585990000000002,,,
2.240336,,25.83736,,
2.32433,,,,52.55471000000001
2.350661,,,41.548635,
2.352329,13.113435,,,
2.3886644999999995,,27.183315,,
2.4680005,,,43.64532499999999,
2.475004,13.59332,,,
2.482004,,28.42334,,
2.4940005,,,,56.233315000000005
2.6123330000000005,,,45.2187,
2.6426685,14.09734,,,
2.6586704999999995,,29.668705,,
2.675,,,,60.28199000000001
2.7619955000000003,,,47.30129999999999,
2.7816645,14.697345,,,
2.805999,,30.953990000000005,,
2.884666,,,,63.99535
2.9196705000000005,,,49.277305,
2.951997,14.95996,,,
2.9583385000000004,,32.16123,,
3.0513495,,,51.28519499999999,
3.0766775000000006,15.311315,,,
3.0826775,,33.43138,,
3.1026765,,,,68.21934
3.172331,,,53.321355,
3.207336,15.6872,,,
3.216001,,34.72995,,
3.3426645,,,,71.974105
3.3733345,,35.661325000000005,,
3.3843310000000004,16.003345,,,
3.4949990000000004,,,56.84866,
3.5276665000000005,16.39133,,,
3.5313324999999995,,36.778695000000006,,
3.6036645,,,,75.774015
3.654,,,58.61335,
3.694999,,37.879945,,
3.753995,16.584010000000003,,,
3.7729945,,,60.487335,
3.8170015,,38.97073,,
3.817333,,,,79.322005
3.869004,16.89806,,,
3.903665,,,62.31544000000001,
3.950999,,39.922005,,
4.031000000000001,17.13273,,,
4.0396645,,,64.50332,
4.0563365,,,,82.85862499999999
4.108999,,41.057985,,
4.1930000000000005,17.39069,,,
4.1966665,,,66.16937,
4.274337,,42.12734,,
4.3203320000000005,,,,86.39269
4.340999500000001,17.943345,,,
4.368999500000001,,,67.80190499999999,
4.429344,,43.146105000000006,,
4.476345500000001,18.207325,,,
4.491346500000001,,,69.49465500000001,
4.521675,,,,89.77723
4.613000499999999,18.43929,,,
4.6280015,,,71.25929500000001,
4.6789995,,44.98998,,
4.7709965,,,,93.11605000000002
4.773671499999999,,,73.009355,
4.776330499999999,18.937965,,,
4.8550005,,45.970775,,
4.928999500000001,,,74.80006999999999,
4.945001,18.85266,,,
5.004665,,46.935345,,
5.035670999999999,,,,96.35526
5.0839935,19.030015,,,
5.088657499999999,,,76.273325,
5.143319999999999,,47.787325,,
5.201659500000001,,,77.92135,
5.215661,19.210625,,,
5.262998500000001,,48.710755000000006,,
5.356663000000001,,,79.199295,
5.3596635,19.458005,,,
5.436667500000001,,49.602665,,
5.5040035,19.60869,,,
5.514001,,,81.14802,
5.594329499999999,,50.481315000000016,,
5.678667999999999,,,82.63068500000001,
5.684999499999999,20.044075,,,
5.745997999999999,,51.34188499999999,,
5.823010999999999,19.88343,,,
