Tempo (s),Tensao (V)
-0.003,0.984375
-0.00299,0.97291667
-0.00298,0.99645833
-0.00297,0.98333333
-0.00296,0.993125
-0.00295,0.98833333
-0.00294,0.99125
-0.00293,0.99020833
-0.00292,0.990625
-0.0029100000000000003,0.99083333
-0.0029000000000000002,0.99083333
-0.00289,0.99083333
-0.00288,0.99083333
-0.00287,0.990625
-0.00286,0.99041667
-0.00285,0.99
-0.00284,0.99
-0.00283,0.99020833
-0.00282,0.99
-0.00281,0.99
-0.0028,0.98979167
-0.00279,0.99
-0.00278,0.99
-0.00277,0.99041667
-0.00276,0.99
-0.00275,0.99041667
-0.0027400000000000002,0.99041667
-0.0027300000000000002,0.99083333
-0.00272,0.99104167
-0.00271,0.99104167
-0.0027,0.99145833
-0.00269,0.99125
-0.00268,0.99125
-0.00267,0.99145833
-0.00266,0.99104167
-0.00265,0.99083333
-0.00264,0.99083333
-0.00263,0.990625
-0.00262,0.99041667
-0.00261,0.99020833
-0.0026,0.99041667
-0.00259,0.989375
-0.00258,0.99125
-0.0025700000000000002,0.98729167
-0.00256,0.99416667
-0.00255,0.9825
-0.00254,1.0020833
-0.00253,0.96791667
-0.00252,1.035625
-0.00251,0.66083333
-0.0025,0.004375
-0.00249,0.015416667
-0.00248,-0.0072916667
-0.00247,0.0070833333
-0.00246,-0.0022916667
-0.00245,0.0027083333
-0.00244,-0.000625
-0.00243,0.000625
-0.0024200000000000003,0.00020833333
-0.00241,-0.00020833333
-0.0024000000000000002,0.00020833333
-0.0023899999999999998,-0.00041666667
-0.00238,-0.00041666667
-0.00237,0.0
-0.00236,-0.00020833333
-0.00235,-0.00020833333
-0.00234,-0.00041666667
-0.00233,-0.000625
-0.00232,0.0
-0.00231,-0.00041666667
-0.0023,0.0
-0.00229,-0.00041666667
-0.00228,-0.00041666667
-0.00227,0.0
-0.00226,-0.00041666667
-0.0022500000000000003,-0.00041666667
-0.00224,-0.00020833333
-0.00223,-0.00041666667
-0.0022199999999999998,0.0
-0.00221,0.0
-0.0022,-0.00020833333
-0.00219,0.0
-0.00218,-0.00041666667
-0.00217,-0.00041666667
-0.00216,-0.000625
-0.00215,-0.00041666667
-0.00214,-0.00041666667
-0.00213,-0.000625
-0.00212,-0.00041666667
-0.00211,-0.00020833333
-0.0021,-0.00041666667
-0.00209,0.00083333333
-0.0020800000000000003,-0.0010416667
-0.00207,0.0027083333
-0.00206,-0.0045833333
-0.0020499999999999997,0.0075
-0.00204,-0.012708333
-0.00203,0.022083333
-0.00202,-0.045
-0.00201,0.32875
-0.002,0.98520833
-0.00199,0.97395833
-0.00198,0.99708333
-0.00197,0.98395833
-0.00196,0.993125
-0.00195,0.98854167
-0.0019399999999999999,0.99083333
-0.00193,0.98916667
-0.00192,0.99020833
-0.00191,0.99041667
-0.0019,0.99020833
-0.00189,0.99041667
-0.00188,0.99
-0.00187,0.99041667
-0.0018599999999999999,0.99
-0.0018499999999999999,0.99
-0.00184,0.98979167
-0.00183,0.98979167
-0.00182,0.99
-0.00181,0.99
-0.0018,0.98979167
-0.00179,0.99020833
-0.00178,0.99020833
-0.0017699999999999999,0.99104167
-0.00176,0.99104167
-0.00175,0.99104167
-0.00174,0.99145833
-0.00173,0.99104167
-0.00172,0.99166667
-0.00171,0.99104167
-0.0017,0.99104167
-0.0016899999999999999,0.99104167
-0.0016799999999999999,0.990625
-0.00167,0.990625
-0.00166,0.99041667
-0.00165,0.99041667
-0.00164,0.99020833
-0.00163,0.99
-0.00162,0.99
-0.0016099999999999999,0.99020833
-0.0015999999999999999,0.99020833
-0.00159,0.989375
-0.00158,0.990625
-0.00157,0.98729167
-0.00156,0.99375
-0.00155,0.98270833
-0.00154,1.0027083
-0.00153,0.968125
-0.0015199999999999999,1.0360417
-0.0015099999999999998,0.66208333
-0.0015,0.0045833333
-0.00149,0.015625
-0.00148,-0.0072916667
-0.00147,0.006875
-0.00146,-0.0022916667
-0.00145,0.0025
-0.0014399999999999999,0.00041666667
-0.0014299999999999998,0.000625
-0.00142,0.00041666667
-0.00141,-0.000625
-0.0014,0.0
-0.00139,-0.00020833333
-0.00138,-0.00041666667
-0.00137,-0.00083333333
-0.0013599999999999999,-0.00041666667
-0.0013499999999999999,0.00020833333
-0.0013399999999999998,0.00020833333
-0.00133,-0.00041666667
-0.00132,-0.00041666667
-0.00131,-0.00041666667
-0.0013,-0.000625
-0.00129,0.00041666667
-0.0012799999999999999,-0.000625
-0.0012699999999999999,-0.00041666667
-0.0012599999999999998,-0.000625
-0.00125,-0.000625
-0.00124,0.0
-0.00123,-0.00041666667
-0.00122,0.0
-0.00121,-0.00020833333
-0.0012,-0.00041666667
-0.0011899999999999999,0.00041666667
-0.0011799999999999998,-0.000625
-0.0011699999999999998,0.00020833333
-0.00116,-0.00041666667
-0.00115,0.0
-0.00114,0.00020833333
-0.00113,-0.00020833333
-0.00112,0.0
-0.0011099999999999999,-0.000625
-0.0010999999999999998,-0.00020833333
-0.0010899999999999998,0.00083333333
-0.0010799999999999998,-0.00125
-0.00107,0.0027083333
-0.00106,-0.0045833333
-0.00105,0.0077083333
-0.0010399999999999997,-0.012083333
-0.00103,0.022291667
-0.00102,-0.045208333
-0.00101,0.32875
-0.001,0.98541667
-0.00099,0.974375
-0.00098,0.996875
-0.0009699999999999999,0.98354167
-0.0009599999999999999,0.993125
-0.0009499999999999999,0.98854167
-0.0009399999999999999,0.99083333
-0.0009299999999999998,0.98958333
-0.0009199999999999998,0.99
-0.0009099999999999998,0.989375
-0.0008999999999999998,0.98979167
-0.0008899999999999997,0.99020833
-0.0008799999999999997,0.98979167
-0.0008699999999999997,0.99
-0.0008600000000000001,0.98979167
-0.0008500000000000001,0.99
-0.00084,0.99041667
-0.00083,0.99041667
-0.00082,0.990625
-0.00081,0.990625
-0.0007999999999999999,0.99083333
-0.0007899999999999999,0.99125
-0.0007799999999999999,0.99125
-0.0007699999999999999,0.99145833
-0.0007599999999999998,0.99125
-0.0007499999999999998,0.99166667
-0.0007399999999999998,0.99125
-0.0007299999999999997,0.99125
-0.0007199999999999997,0.99104167
-0.0007099999999999997,0.99083333
-0.0006999999999999997,0.990625
-0.0006900000000000001,0.990625
-0.00068,0.99041667
-0.00067,0.99041667
-0.00066,0.99020833
-0.00065,0.99041667
-0.0006399999999999999,0.99041667
-0.0006299999999999999,0.98979167
-0.0006199999999999999,0.99041667
-0.0006099999999999999,0.99
-0.0005999999999999998,0.99041667
