Iteracao;Timestamp;Corrente_Set (A);NanoVolt (V);Corrente_Calculada (A);Agilent (V);Tempo_Ciclo (s)
0;18:55:14.180662;0.0;-2.27918253e-06;-0.01899318775;-9.79e-06;0.3172
1;18:55:15.418366;1.0;-2.2231215e-06;-0.0185260125;-1.0794e-05;0.2314
2;18:55:16.654951;2.0;5.24644748e-05;0.43720395666666667;-1.0041e-05;0.2318
3;18:55:17.892308;3.0;0.000293312977;2.444274808333333;0.002273426;0.2317
4;18:55:19.131322;4.0;0.000412178068;3.4348172333333333;0.00324377;0.2336
5;18:55:20.370497;5.0;0.000556241952;4.6353496;0.00440929;0.2332
6;18:55:21.610893;6.0;0.000671483667;5.595697224999999;0.005329554;0.2347
7;18:55:22.850749;7.0;0.00078391612;6.532634333333333;0.006228983;0.2325
8;18:55:24.088481;8.0;0.000891809591;7.431746591666667;0.0070762;0.2324
9;18:55:25.331307;9.0;0.00101144882;8.428740166666667;0.00805734;0.2362
10;18:55:26.571173;10.0;0.00115184029;9.598669083333334;0.009181439;0.2338
