Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	16:49:14.813192	0.0	-5.75625222e-07	-0.0047968768499999995	-7.9827e-05	0.3153
1	16:49:16.048381	1.0	-5.46687989e-07	-0.004555733241666667	-8.1207e-05	0.2298
2	16:49:17.283758	2.0	7.82884178e-06	0.06524034816666667	-7.8571e-05	0.2302
3	16:49:18.523488	3.0	3.83522341e-05	0.3196019508333333	0.005819056	0.2335
4	16:49:19.763966	4.0	6.35318518e-05	0.5294320983333333	0.010294995	0.2342
5	16:49:21.010760	5.0	9.41329935e-05	0.7844416125	0.015481971	0.2320
6	16:49:22.248715	6.0	0.000121528843	1.0127403583333332	0.020164259	0.2318
7	16:49:23.497333	7.0	0.000151820598	1.2651716499999999	0.025412112	0.2426
8	16:49:24.733204	8.0	0.000172353787	1.4362815583333333	0.028876414	0.2300
9	16:49:25.971372	9.0	0.000201450275	1.6787522916666666	0.033960724	0.2327
10	16:49:27.209661	10.0	0.000233976814	1.9498067833333332	0.039389068	0.2323
