Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	16:45:52.989951	0.0	-4.43000238e-07	-0.00369166865	-7.9827e-05	0.3197
1	16:45:54.270108	1.0	-4.73746292e-07	-0.003947885766666667	-8.0705e-05	0.2351
2	16:45:55.507364	2.0	8.9184063e-06	0.0743200525	-6.5895e-05	0.2309
3	16:45:56.743002	3.0	3.96016308e-05	0.33001358999999997	0.006118782	0.2300
4	16:45:57.981400	4.0	6.61136696e-05	0.5509472466666666	0.010791528	0.2326
5	16:45:59.217797	5.0	9.9196785e-05	0.8266398749999999	0.016333457	0.2305
6	16:46:00.454324	6.0	0.000129015485	1.0751290416666666	0.021337309	0.2312
7	16:46:01.697370	7.0	0.000154037573	1.2836464416666666	0.025930105	0.2372
8	16:46:02.942112	8.0	0.000184541545	1.5378462083333333	0.031032614	0.2359
9	16:46:04.181188	9.0	0.000209205543	1.7433795250000002	0.035345013	0.2306
10	16:46:05.417157	10.0	0.000238730145	1.989417875	0.040760807	0.2305
